city_cn,city_en,date,cases,tem,rhu,pre,year,month,week,biweek
东莞市,Dongguan,2005-01-02,0,14.1867814401094,50.8810169326996,0.0744185873089587,2005,1,53,1
东莞市,Dongguan,2005-01-09,0,11.8288619967465,57.1558728936012,4.90582511893674,2005,1,1,1
东莞市,Dongguan,2005-01-16,0,14.8777537009126,58.3693418782736,0.277986123094176,2005,1,2,2
东莞市,Dongguan,2005-01-23,0,17.8153007546484,83.3508961950777,9.67372252529922,2005,1,3,2
东莞市,Dongguan,2005-01-30,0,12.7893835771857,81.4126299743811,12.2073894892682,2005,1,4,3
东莞市,Dongguan,2005-02-06,0,18.8834423204082,79.1513325424935,2.88906038382568,2005,2,5,3
东莞市,Dongguan,2005-02-13,0,17.0851672485312,80.1920645919898,16.3037776582752,2005,2,6,4
东莞市,Dongguan,2005-02-20,0,13.2604332541961,81.6193107493654,12.771830938176,2005,2,7,4
东莞市,Dongguan,2005-02-27,0,12.1243873667525,71.8661524658737,30.6088233127635,2005,2,8,5
东莞市,Dongguan,2005-03-06,0,17.4807030959091,71.1616753064312,33.3712341894064,2005,3,9,5
东莞市,Dongguan,2005-03-13,0,15.9153722899172,72.4477625307816,3.90552101431682,2005,3,10,6
东莞市,Dongguan,2005-03-20,0,19.4700426873936,70.4676908157453,11.2324438549291,2005,3,11,6
东莞市,Dongguan,2005-03-27,0,20.5196771012501,87.7697832910713,71.5253825710314,2005,3,12,7
东莞市,Dongguan,2005-04-03,0,22.8911561739694,74.0972222866877,6.05980396666413,2005,4,13,7
东莞市,Dongguan,2005-04-10,0,20.8728802166686,79.3614624902088,44.4073613327273,2005,4,14,8
东莞市,Dongguan,2005-04-17,0,24.18627697,76.4511099110016,3.12484751576048,2005,4,15,8
东莞市,Dongguan,2005-04-24,0,24.9977605889498,86.9600794606256,71.5457340541378,2005,4,16,9
东莞市,Dongguan,2005-05-01,0,27.1213570562649,81.2588050192239,40.2785169280962,2005,5,17,9
东莞市,Dongguan,2005-05-08,0,26.6886776889029,89.9388482509493,148.02348957979,2005,5,18,10
东莞市,Dongguan,2005-05-15,0,28.2080743378572,86.2264066059768,72.3959434923766,2005,5,19,10
东莞市,Dongguan,2005-05-22,0,27.4996990091843,85.6381080106622,100.065413624826,2005,5,20,11
东莞市,Dongguan,2005-05-29,0,27.6879111501814,84.3549579233135,116.477238748409,2005,5,21,11
东莞市,Dongguan,2005-06-05,0,27.3059887342932,79.5194417050811,50.3650332382143,2005,6,22,12
东莞市,Dongguan,2005-06-12,0,27.8504604476178,90.8861781592941,172.696153265199,2005,6,23,12
东莞市,Dongguan,2005-06-19,0,27.7228434536475,92.3711019583616,258.250434516728,2005,6,24,13
东莞市,Dongguan,2005-06-26,0,28.2266871297389,85.1604370599237,74.7937890395144,2005,6,25,13
东莞市,Dongguan,2005-07-03,0,29.2618700443323,82.8779141409072,45.0126082333602,2005,7,26,14
