year,biweek,beta_obs,beta_nn,residual,ratio,temp_mean_norm,temp_mean_raw,precip_norm,precip_raw,humidity_norm,humidity_raw
2014,1,0.0011424958,0.05540879,-0.054266296,0.020619396,0.25208086,13.207144,0.00015641263,0.05,0.67080045,71.5
2014,2,0.00014825682,0.055403035,-0.05525478,0.0026759692,0.20808561,12.15,0.0,0.0,0.6042841,67.28571
2014,3,1.2070363e-05,0.055419993,-0.055407923,0.00021779798,0.29994056,14.357143,0.018836549,6.0214286,0.7914318,79.14285
2014,4,0.0,0.055361804,-0.055361804,0.0,0.14922711,10.735714,0.03552801,11.357143,0.78466743,78.71428
2014,5,0.0,0.055534095,-0.055534095,0.0,0.35017836,15.564285,0.06707867,21.442858,0.93010145,87.928566
2014,6,6.174713e-06,0.05554026,-0.055534083,0.00011117544,0.4429251,17.792858,0.037382618,11.950001,0.7384442,75.78571
2014,7,7.788022e-05,0.055691972,-0.05561409,0.0013984102,0.55766946,20.550001,0.10852802,34.69286,0.92784667,87.785706
2014,8,0.00061063265,0.055543326,-0.054932695,0.010993808,0.71046376,24.22143,0.00022344661,0.071428575,0.80157834,79.785706
2014,9,0.0031558194,0.055620704,-0.052464884,0.056738213,0.62009513,22.050001,0.08111112,25.928572,0.8748591,84.42857
2014,10,0.010996689,0.05557382,-0.044577133,0.19787535,0.7184899,24.414286,0.0665424,21.27143,0.97294253,90.64285
2014,11,0.02663852,0.05555159,-0.028913068,0.47952762,0.8561237,27.72143,0.06830763,21.835716,0.86245775,83.64285
2014,12,0.046921607,0.05554674,-0.008625131,0.844723,0.8626635,27.878572,0.080887675,25.857145,0.8184893,80.85715
2014,13,0.06376322,0.055538695,0.008224528,1.1480864,0.88436383,28.4,0.06475483,20.7,0.85907555,83.42857
2014,14,0.07131154,0.055531263,0.015780278,1.2841692,0.9230083,29.328571,0.017808694,5.6928573,0.79594135,79.428566
2014,15,0.069821164,0.055536695,0.014284469,1.2572078,0.8802021,28.3,0.054364562,17.378572,0.8184893,80.85715
2014,16,0.06414755,0.05551772,0.008629829,1.1554428,0.9123068,29.071428,0.07013989,22.42143,0.7925592,79.21428
2014,17,0.059991997,0.05555458,0.004437417,1.0798749,0.84423304,27.435715,0.067145705,21.464287,0.85005635,82.85714
2014,18,0.06001108,0.05553817,0.0044729114,1.0805376,0.85879904,27.785715,0.028802268,9.207143,0.8286359,81.5
2014,19,0.06381531,0.055551652,0.008263659,1.1487563,0.84423304,27.435715,0.016959598,5.421429,0.78466743,78.71428
2014,20,0.0709173,0.05557868,0.015338622,1.2759804,0.80499405,26.492857,0.000111723304,0.035714287,0.72604287,75.0
2014,21,0.081603065,0.05558954,0.026013523,1.4679571,0.67003566,23.25,0.015641263,5.0,0.62570465,68.64285
2014,22,0.095466815,0.055577677,0.03988914,1.7177187,0.6712247,23.27857,0.03143894,10.050001,0.7057497,73.71428
2014,23,0.11054124,0.0555937,0.05494754,1.9883771,0.4839477,18.778572,0.07049741,22.535715,0.7812852,78.5
2014,24,0.12231511,0.055514738,0.06680037,2.2032907,0.53715813,20.057142,0.0009831651,0.31428573,0.77677566,78.21428
2014,25,0.121615365,0.055471778,0.06614359,2.1923826,0.2705113,13.650001,0.020557089,6.571429,0.54002255,63.214283
2014,26,0.0996023,0.05540653,0.044195767,1.7976636,0.18757431,11.657143,0.022836244,7.3,0.6403608,69.57143
2014,27,0.061701883,0.055359658,0.006342225,1.1145641,0.18519619,11.6,0.0,0.0,0.6629087,71.0
