year,month,temperature,temp_max,temp_min,humidity,precip_total_mm,precip_daily_mm
2005,1,13.874193548387098,18.629032258064516,10.23225806451613,63.225806451612904,24.8,0.8
2005,2,15.657142857142857,19.5,12.971428571428572,77.78571428571429,67.1,2.3964285714285714
2005,3,17.23225806451613,21.480645161290322,13.754838709677419,76.45161290322581,176.2,5.683870967741935
2005,4,22.84333333333333,26.60666666666667,19.863333333333333,82.96666666666667,191.0,6.366666666666666
2005,5,26.62258064516129,30.029032258064515,24.30322580645161,85.90322580645162,375.2,12.103225806451613
2005,6,26.86,29.946666666666665,24.946666666666665,88.8,600.2,20.006666666666668
2005,7,28.47741935483871,32.145161290322584,25.54516129032258,81.38709677419355,153.3,4.945161290322581
2005,8,27.583870967741937,31.009677419354837,25.19677419354839,85.25806451612904,257.3,8.3
2005,9,27.33,30.816666666666666,24.78666666666667,81.4,144.7,4.823333333333333
2005,10,24.9,29.006451612903227,21.151612903225807,68.09677419354838,0.7,0.02258064516129032
2005,11,21.596666666666668,26.263333333333332,17.823333333333334,68.53333333333333,13.7,0.45666666666666667
2005,12,14.890322580645162,19.44193548387097,11.096774193548388,48.54838709677419,9.2,0.2967741935483871
2006,1,15.603225806451613,20.106451612903225,11.838709677419354,68.03225806451613,21.5,0.6935483870967742
2006,2,17.489285714285714,21.932142857142857,14.082142857142857,68.17857142857143,52.2,1.8642857142857143
2006,3,18.23225806451613,22.051612903225806,14.819354838709677,80.16129032258064,146.5,4.725806451612903
2006,4,23.540000000000003,27.383333333333333,20.486666666666668,82.26666666666667,160.8,5.36
2006,5,24.85483870967742,28.30322580645161,22.216129032258067,83.35483870967742,535.1999999999999,17.264516129032256
2006,6,27.196666666666665,30.333333333333332,24.833333333333332,87.13333333333334,391.0,13.033333333333333
2006,7,28.55483870967742,31.75483870967742,26.141935483870967,84.74193548387096,299.1,9.648387096774194
2006,8,27.838709677419356,31.309677419354838,25.200000000000003,84.70967741935483,281.6,9.083870967741936
2006,9,25.823333333333334,29.740000000000002,22.746666666666666,79.4,104.3,3.4766666666666666
2006,10,25.85483870967742,29.87741935483871,22.629032258064516,75.19354838709677,27.5,0.8870967741935484
2006,11,21.586666666666666,26.14333333333333,17.84,68.9,85.3,2.8433333333333333
2006,12,15.109677419354838,20.30322580645161,10.903225806451612,63.67741935483871,20.6,0.6645161290322581
2007,1,13.793548387096775,18.438709677419357,9.95483870967742,61.12903225806452,17.5,0.5645161290322581
2007,2,19.082142857142856,23.889285714285712,15.328571428571427,73.5,50.2,1.792857142857143
2007,3,19.458064516129035,23.16774193548387,16.567741935483873,81.29032258064517,97.0,3.129032258064516
