year,biweek,local_cases,imported_cases,T_mean,RH_mean,rainfall_mm
2005,1,0,0,12.057142857142859,55.642857142857146,5.457142857142857
2005,2,0,0,15.578571428571431,67.42857142857143,15.057142857142855
2005,3,0,0,14.564285714285715,82.85714285714286,25.228571428571428
2005,4,0,0,14.1,78.21428571428571,5.757142857142858
2005,5,0,0,14.664285714285715,75.57142857142857,2.5
2005,6,0,0,17.314285714285713,68.64285714285714,15.785714285714286
2005,7,0,0,21.12857142857143,80.14285714285714,17.685714285714287
2005,8,0,0,22.064285714285713,79.85714285714286,18.12142857142857
2005,9,0,0,25.62857142857143,83.14285714285714,35.95
2005,10,0,0,27.014285714285712,81.28571428571429,36.84285714285714
2005,11,0,1,28.014285714285712,78.71428571428571,9.65
2005,12,0,0,27.685714285714287,78.92857142857143,25.678571428571427
2005,13,0,1,27.785714285714285,84.5,28.142857142857142
2005,14,0,1,29.72142857142857,73.28571428571429,20.57857142857143
2005,15,0,1,30.849999999999998,65.78571428571429,13.657142857142857
2005,16,0,0,29.414285714285715,75.5,18.057142857142857
2005,17,0,0,27.349999999999998,81.78571428571429,17.97142857142857
2005,18,0,1,28.771428571428572,71.42857142857143,21.0
2005,19,0,5,29.17142857142857,71.14285714285714,10.757142857142858
2005,20,0,1,27.728571428571428,68.92857142857143,7.692857142857143
2005,21,0,0,26.735714285714288,60.285714285714285,0.0
2005,22,0,0,23.285714285714285,58.57142857142857,10.0
2005,23,0,1,24.435714285714287,70.21428571428571,5.185714285714285
2005,24,0,0,19.164285714285715,60.57142857142857,0.0
2005,25,0,0,14.585714285714285,44.0,10.0
2005,26,0,0,14.571428571428571,47.0,5.114285714285714
2005,27,0,0,19.3,71.0,70.0
2006,1,0,0,15.37142857142857,61.357142857142854,10.12142857142857
2006,2,0,0,15.328571428571427,69.28571428571429,15.557142857142859
2006,3,0,0,18.72142857142857,64.78571428571429,10.0
2006,4,0,0,17.02857142857143,73.28571428571429,18.135714285714286
2006,5,0,1,16.821428571428573,74.85714285714286,14.757142857142856
2006,6,0,0,17.728571428571428,80.85714285714286,14.242857142857144
2006,7,0,1,22.035714285714285,79.71428571428571,17.67142857142857
2006,8,0,0,22.57857142857143,74.07142857142857,6.128571428571428
2006,9,0,0,25.364285714285717,82.35714285714286,33.32857142857143
2006,10,0,0,26.00714285714286,66.14285714285714,11.914285714285713
2006,11,0,0,24.7,87.92857142857143,33.42857142857143
2006,12,2,0,26.814285714285717,84.14285714285714,19.22142857142857
2006,13,0,0,29.407142857142855,74.07142857142857,18.571428571428573
2006,14,1,0,30.52857142857143,73.21428571428571,14.685714285714285
2006,15,3,0,29.364285714285717,74.85714285714286,8.278571428571428
2006,16,22,0,28.42142857142857,76.21428571428571,29.885714285714283
2006,17,123,1,30.05,69.21428571428571,9.471428571428572
2006,18,260,1,29.25714285714286,74.42857142857143,15.242857142857142
2006,19,117,1,25.042857142857144,67.42857142857143,3.664285714285714
2006,20,47,0,27.764285714285712,60.714285714285715,0.014285714285714287
