year,month,temperature,humidity,precipitation
2005,1,14.912903225806453,66.45161290322581,0.31935483870967746
2005,2,16.960714285714285,78.71428571428571,1.2571428571428573
2005,3,17.94516129032258,77.29032258064517,2.167741935483871
2005,4,23.353333333333335,82.63333333333334,3.2299999999999995
2005,5,26.983870967741936,85.80645161290323,9.829032258064515
2005,6,27.336666666666666,88.36666666666666,16.323333333333334
2005,7,28.541935483870965,82.61290322580645,5.699999999999999
2005,8,27.603225806451615,86.7741935483871,11.312903225806451
2005,9,27.4,83.16666666666667,4.8133333333333335
2005,10,25.200000000000003,71.16129032258064,0.03225806451612903
2005,11,22.006666666666668,73.03333333333333,0.6
2005,12,15.77741935483871,53.54838709677419,0.12903225806451613
2006,1,16.267741935483873,70.61290322580645,0.4
2006,2,18.360714285714288,71.75,1.8857142857142857
2006,3,19.177419354838708,81.58064516129032,2.6709677419354843
2006,4,24.16,83.2,3.5966666666666667
2006,5,25.43548387096774,84.03225806451613,13.619354838709677
2006,6,27.616666666666667,87.13333333333334,8.573333333333332
2006,7,28.761290322580646,84.45161290322581,5.17741935483871
2006,8,27.864516129032257,85.51612903225806,9.416129032258064
2006,9,26.013333333333332,80.86666666666666,5.84
2006,10,25.838709677419356,78.29032258064517,0.9322580645161291
2006,11,22.33,73.86666666666666,1.87
2006,12,16.309677419354838,65.48387096774194,0.5258064516129033
2007,1,15.016129032258064,62.12903225806452,0.43225806451612897
2007,2,19.72142857142857,76.78571428571429,1.0535714285714286
2007,3,20.56451612903226,81.51612903225806,1.5483870967741935
2007,4,21.706666666666667,80.93333333333334,3.9633333333333334
2007,5,26.20967741935484,83.16129032258064,8.167741935483871
2007,6,28.07,86.7,9.833333333333334
2007,7,28.990322580645163,82.06451612903226,2.3548387096774195
2007,8,28.1,85.12903225806451,8.40967741935484
2007,9,27.173333333333336,78.2,3.033333333333333
2007,10,24.92258064516129,72.12903225806451,1.7548387096774194
2007,11,19.676666666666666,62.266666666666666,0.6466666666666667
2007,12,18.383870967741935,68.7741935483871,0.12258064516129033
